ATS,Building_C,Location_C,Name,Geographic,Latitude,Longitude,latitude,longitude
84K608,K252,K608,Kings Collegiate Charter School,18,40.657712,-73.919818,4961984.606200002,-8228716.499299999
84K626,K055,K626,Achievement First Brownsville Charter School,23,40.674456,-73.912685,4964441.935000002,-8227922.4574
84K648,K324,K648,Bedford Stuyvesant Collegiate Charter School,16,40.68797,-73.932066,4966425.6831,-8230079.940400001
84K649,K324,K649,La Cima Charter School,16,40.68797,-73.932066,4966425.6831,-8230079.940400001
84K651,K990,K651,PAVE Academy Charter School,15,40.675936,-74.003372,4964659.1677,-8238017.687999999
84K652,KBGH,K652,Brooklyn Ascend Charter School,18,40.661945,-73.92044,4962605.777800001,-8228785.74
84K680,K202,K680,Achievement First Aspire Charter School,19,40.665817,-73.876084,4963174.009000003,-8223848.0527
84K693,K126,K693,Northside Charter High School,14,40.719818,-73.947932,4971102.308799997,-8231846.135500001
84K701,K023,K701,Brooklyn Charter School,14,40.69447,-73.947256,4967379.974799998,-8231770.8835
84K702,K270,K702,Community Partnership Charter School,13,40.689499,-73.960808,4966650.153499998,-8233279.485200001
84K704,K002,K704,Explore Charter School,17,40.656423,-73.951575,4961795.459700003,-8232251.6724
84K707,KDZH,K707,Brooklyn Prospect Charter School - CSD 15,15,40.653277,-74.007222,4961333.834399998,-8238446.268100001
84K710,KAHN,K710,Brownsville Collegiate Charter School,14,40.706729,-73.944,4969180.022500001,-8231408.427200001
84K711,K275,K711,Leadership Preparatory Brownsville Charter School,23,40.655644,-73.906662,4961681.151900001,-8227251.9801
84K712,K309,K712,Excellence Girls Charter School,16,40.6881,-73.924422,4966444.767999999,-8229229.0142
84K724,K279,K724,Leadership Preparatory Canarsie Charter School,18,40.644134,-73.892797,4959992.368500002,-8225708.5353
84K730,K027,K730,Summit Academy Charter School,15,40.677914,-74.005151,4964949.503700003,-8238215.725400001
84K731,KAQX,K731,Brooklyn Excelsior Charter School,16,40.689569,-73.925087,4966660.430200003,-8229303.0417
84K733,K291,K733,"Math, Engineering, and Science Academy Charter Hig",32,40.695875,-73.915217,4967586.260899998,-8228204.318299999
84K736,K233,K736,New American Academy Charter School,18,40.651642,-73.914282,4961093.932800002,-8228100.2346
84K737,KBVT,K737,Brownsville Ascend Charter School,23,40.668608,-73.918123,4963583.619599998,-8228527.8127999995
84K738,K495,K738,New Visions Charter High School for Advanced Math,22,40.593157,-73.936635,4952516.361400001,-8230588.5592
84K739,K495,K739,New Visions Charter High School for the Humanities,22,40.593157,-73.936635,4952516.361400001,-8230588.5592
84K740,KAJS,K740,Brooklyn Scholars Charter School,19,40.669356,-73.867138,4963693.3999999985,-8222852.1885
84K741,K161,K741,Success Academy Charter School - Crown Heights,17,40.665757,-73.949243,4963165.203500003,-8231992.075300001
84K742,K210,K742,Explore Empower Charter School,17,40.67271,-73.928917,4964185.665399998,-8229729.395300001
84K744,K303,K744,Coney Island Preparatory Public Charter School,21,40.582518,-73.972009,4950956.823100001,-8234526.3748
84K746,KBZT,K746,Hebrew Language Academy Charter School,22,40.612258,-73.914312,4955316.941,-8228103.574200001
84K752,K495,K752,Success Academy Charter School - Fort Greene,22,40.593157,-73.936635,4952516.361400001,-8230588.5592
84K756,K138,K756,Success Academy Charter School - Prospect Heights,17,40.673943,-73.951559,4964366.638599999,-8232249.8912
84K757,K044,K757,Unity Preparatory Charter School of Brooklyn,13,40.686213,-73.940859,4966167.746699996,-8231058.772700001
84K758,KBNU,K758,Brooklyn Urban Garden Charter School,15,40.656202,-73.982624,4961763.0308,-8235708.031199999
84K759,KAGD,K759,Canarsie Ascend Charter School,18,40.643834,-73.900432,4959948.3554000035,-8226558.4596
84K766,KDZH,K766,Brooklyn Prospect Charter School - CSD 13.2,15,40.653277,-74.007222,4961333.834399998,-8238446.268100001
84K769,K328,K769,Hyde Leadership Charter School - Brooklyn,19,40.667985,-73.898249,4963492.185900003,-8226315.449200001
84K772,K096,K772,Success Academy Charter School - Bensonhurst,21,40.608135,-73.984985,4954712.3609,-8235970.8565
84K774,K302,K774,Achievement First Apollo Charter School,19,40.677112,-73.884211,4964831.783,-8224752.746200001
84K775,K332,K775,Leadership Preparatory Ocean Hill Charter School,23,40.672216,-73.906018,4964113.159599997,-8227180.2903
84K777,K271,K777,Ocean Hill Collegiate Charter School,23,40.678124,-73.915106,4964980.328599997,-8228191.9618999995
84K780,K252,K780,Brooklyn East Collegiate Charter School,18,40.657712,-73.919818,4961984.606200002,-8228716.499299999
84K781,K078,K781,Success Academy Charter School - Bergen Beach,22,40.620537,-73.912914,4956531.052699998,-8227947.9495
84K782,KAKB,K782,Bedford Stuyvesant New Beginnings Charter School,16,40.694676,-73.937717,4967410.2201000005,-8230709.006899999
84K784,K377,K784,Achievement First North Brooklyn Preparatory Chart,32,40.693542,-73.915159,4967243.725599997,-8228197.8618
84K785,KAKM,K785,Imagine Me Leadership Charter School,19,40.660077,-73.883469,4962331.653300002,-8224670.1471
84K788,K166,K788,Achievement First Linden Charter School,19,40.659934,-73.885704,4962310.668700002,-8224918.9462
84K789,K113,K789,Compass Charter School,13,40.688769,-73.971474,4966542.982500002,-8234466.8189
84K790,KAJY,K790,Central Brooklyn Ascend Charter School,22,40.638957,-73.948982,4959232.877700001,-8231963.0209
84K791,KAKO,K791,Brooklyn Dreams Charter School,22,40.632149,-73.969887,4958234.201099999,-8234290.1548999995
84K792,KBXV,K792,Cultural Arts Academy Charter School At Spring Cre,18,40.65452,-73.908341,4961516.222199999,-8227438.885500001
84K793,KAJP,K793,Bushwick Ascend Charter School,32,40.693748,-73.90892,4967273.970399998,-8227503.339500001
84K803,KCVO,K803,Brooklyn Laboratory Charter School,13,40.70043,-73.987399,4968255.068800002,-8236239.581800001
84K807,KAMH,K807,Collegiate Academy for Mathematics and Personal Aw,19,40.65787,-73.888775,4962007.791199997,-8225260.8083
84K876,K092,K876,Achievement First Voyager Charter School,17,40.656276,-73.95381,4961773.889300004,-8232500.4714
84K879,KBEQ,K879,Brooklyn Prospect Charter School - CSD 13,13,40.681102,-73.956832,4965417.464900002,-8232836.878900001
84K882,K677,K882,Success Academy Charter School - Bushwick,32,40.695975,-73.919653,4967600.943300001,-8228698.1316
84K883,K025,K883,Success Academy Charter School - Bed Stuy 3,16,40.691472,-73.940749,4966939.814599998,-8231046.5276
84K886,K884,K886,Success Academy Charter School - Flatbush,17,40.64879,-73.957501,4960675.476400003,-8232911.3517
84K892,K057,K892,Brooklyn Emerging Leaders Academy Charter School,16,40.691467,-73.932254,4966939.080499999,-8230100.8685
84K895,KCTL,K895,Hebrew Language Academy Charter School 2,21,40.600808,-73.986345,4953638.051299997,-8236122.2511
84K910,KAKT,K910,Cypress Hills Ascend Charter School,19,40.681183,-73.867071,4965429.354999997,-8222844.7301
84K911,KCVO,K911,Edmund W. Gordon Brooklyn Laboratory Charter Schoo,13,40.70043,-73.987399,4968255.068800002,-8236239.581800001
84K912,KAIX,K912,Key Collegiate Charter School,23,40.665264,-73.910292,4963092.851999998,-8227656.069800001
84K927,KBXX,K927,Ivy Hill Preparatory Charter School,18,40.643897,-73.922733,4959957.598200001,-8229040.9956
84K928,KAGI,K928,Brooklyn Prospect Charter School - CSD 15.2,15,40.647893,-73.97872,4960543.868699998,-8235273.4399
84K929,KAKN,K929,East Brooklyn Ascend Charter School,19,40.678076,-73.882154,4964973.282899998,-8224523.762
84K930,KCGR,K930,LEEP Dual Language Academy Charter School,15,40.642877,-74.012089,4959807.9551,-8238988.0600000005
84K933,KDHX,K933,Flatbush Ascend Charter School,17,40.652706,-73.954306,4961250.051600002,-8232555.685900001
84K934,KAJJ,K934,East Flatbush Ascend Charter School,18,40.652671,-73.939706,4961244.916100003,-8230930.4213
84K937,KCVI,K937,Brooklyn RISE Charter School,15,40.688909,-73.981971,4966563.5358000025,-8235635.3396000005
84K956,K219,K956,Lamad Academy Charter School,18,40.658834,-73.922296,4962149.250299998,-8228992.348999999
84K964,KBGH,K964,Brooklyn Ascend Charter School 6,18,40.661945,-73.92044,4962605.777800001,-8228785.74
84K966,KAKB,K966,Bedford Stuyvesant New Beginnings Charter School I,16,40.694676,-73.937717,4967410.2201000005,-8230709.006899999
84M065,MADR,M065,Democracy Preparatory Endurance Charter School,4,40.801547,-73.935335,4983113.8125,-8230443.843800001
84M068,M090,M068,KIPP NYC Washington Heights Academy Charter School,6,40.839139,-73.935815,4988643.578599997,-8230497.2772
